Temperature (°C),Air Pressure (hPa),Month
24.13,1003.93,June
2.6,992.82,January
6.54,1037.54,December
7.68,986.33,December
10.12,985.82,April
16.54,1014.47,April
19.06,1025.38,June
20.56,1021.78,June
16.98,1040.31,October
7.18,1031.04,November
3.14,1048.77,March
21.23,1006.74,July
14.13,980.92,May
5.43,1001.08,December
3.22,1038.0,January
20.45,991.34,July
10.94,1023.99,March
32.39,994.66,July
25.02,1033.01,August
21.5,1034.07,July
27.33,1000.57,July
-2.06,1046.11,January
0.35,994.05,December
19.31,1004.69,May
0.97,1032.8,December
17.52,998.9,April
21.84,1038.31,May
17.42,1033.84,May
21.85,1040.12,September
1.83,1021.16,February
6.08,983.75,March
26.92,1040.36,July
0.59,1021.1,December
25.45,1022.04,June
-1.97,1026.09,December
4.52,1037.06,February
29.43,1028.04,July
2.23,1044.09,December
12.61,1028.01,October
23.43,1001.12,September
23.65,1007.69,August
23.61,1042.09,May
9.99,1007.14,April
10.53,1035.47,April
6.27,1034.42,February
10.27,1037.95,October
17.19,982.89,April
27.8,1042.45,July
20.17,1013.5,September
25.13,1049.36,June
24.17,987.85,May
2.9,1036.16,February
